func,func_intent_summary,security_intent_summary
"def recv(socket, flags=0, capture=(lambda msgs: None)):
    """"""Receives header, payload, and topics through a ZeroMQ socket.

    :param socket: a zmq socket.
    :param flags: zmq flags to receive messages.
    :param capture: a function to capture received messages.

    """"""
    msgs = eintr_retry_zmq(socket.recv_multipart, flags)
    capture(msgs)
    return parse(msgs)","Receives header, payload, and topics through a ZeroMQ socket.

    :param socket: a zmq socket.
    :param flags: zmq flags to receive messages.
    :param capture: a function to capture received messages.",
"def parse_emails(values):
    '''
    Take a string or list of strings and try to extract all the emails
    '''
    emails = []
    if isinstance(values, str):
        values = [values]
    # now we know we have a list of strings
    for value in values:
        matches = re_emails.findall(value)
        emails.extend([match[2] for match in matches])
    return emails",Take a string or list of strings and try to extract all the emails,
"def rpc(f=None, **kwargs):
    """"""Marks a method as RPC.""""""
    if f is not None:
        if isinstance(f, six.string_types):
            if 'name' in kwargs:
                raise ValueError('name option duplicated')
            kwargs['name'] = f
        else:
            return rpc(**kwargs)(f)
    return functools.partial(_rpc, **kwargs)",Marks a method as RPC.,
"def rpc_spec_table(app):
    """"""Collects methods which are speced as RPC.""""""
    table = {}
    for attr, value in inspect.getmembers(app):
        rpc_spec = get_rpc_spec(value, default=None)
        if rpc_spec is None:
            continue
        table[rpc_spec.name] = (value, rpc_spec)
    return table",Collects methods which are speced as RPC.,
"def eintr_retry(exc_type, f, *args, **kwargs):
    """"""Calls a function.  If an error of the given exception type with
    interrupted system call (EINTR) occurs calls the function again.
    """"""
    while True:
        try:
            return f(*args, **kwargs)
        except exc_type as exc:
            if exc.errno != EINTR:
                raise
        else:
            break","Calls a function.  If an error of the given exception type with
    interrupted system call (EINTR) occurs calls the function again.",
"def eintr_retry_zmq(f, *args, **kwargs):
    """"""The specialization of :func:`eintr_retry` by :exc:`zmq.ZMQError`.""""""
    return eintr_retry(zmq.ZMQError, f, *args, **kwargs)",The specialization of :func:`eintr_retry` by :exc:`zmq.ZMQError`.,
"def next(self):
        '''
        Progress to the next identifier, and return the current one.
        '''
        val = self._current
        self._current = self.readfunc()
        return val","Progress to the next identifier, and return the current one.",
"def enter(self, node):
        '''
        Tries to invoke a method matching the pattern *enter_<type name>*, where
        <type name> is the name of the type of the *node*.
        '''
        name = 'enter_' + node.__class__.__name__
        fn = getattr(self, name, self.default_enter)
        fn(node)","Tries to invoke a method matching the pattern *enter_<type name>*, where
        <type name> is the name of the type of the *node*.",
"def leave(self, node):
        '''
        Tries to invoke a method matching the pattern *leave_<type name>*, where
        <type name> is the name of the type of the *node*.
        '''
        name = 'leave_' + node.__class__.__name__
        fn = getattr(self, name, self.default_leave)
        fn(node)","Tries to invoke a method matching the pattern *leave_<type name>*, where
        <type name> is the name of the type of the *node*.",
"def default_accept(self, node, **kwargs):
        '''
        The default accept behaviour is to decend into the iterable member
        *node.children* (if available).
        '''
        if not hasattr(node, 'children'):
            return
        
        for child in node.children:
            self.accept(child, **kwargs)","The default accept behaviour is to decend into the iterable member
        *node.children* (if available).",
"def render(self, node):
        '''
        Try to invoke a method matching the pattern *render_<type name>*, where
        <type name> is the name of the rendering *node*.
        '''
        name = 'render_' + type(node).__name__
        fn = getattr(self, name, self.default_render)
        return fn(node)","Try to invoke a method matching the pattern *render_<type name>*, where
        <type name> is the name of the rendering *node*.",
"def accept_S_SYS(self, inst):
        '''
        A System Model contains top-level packages
        '''
        for child in many(inst).EP_PKG[1401]():
            self.accept(child)",A System Model contains top-level packages,
"def accept_C_C(self, inst):
        '''
        A Component contains packageable elements
        '''
        for child in many(inst).PE_PE[8003]():
            self.accept(child)",A Component contains packageable elements,
"def accept_EP_PKG(self, inst):
        '''
        A Package contains packageable elements
        '''
        for child in many(inst).PE_PE[8000]():
            self.accept(child)",A Package contains packageable elements,
"def write_file (filename, contents):
    """"""Create a file with the specified name and write 'contents' (a
    sequence of strings without line terminators) to it.
    """"""
    contents = ""\n"".join(contents)
    if sys.version_info >= (3,):
        contents = contents.encode(""utf-8"")
    f = open(filename, ""wb"")        # always write POSIX-style manifest
    f.write(contents)
    f.close()","Create a file with the specified name and write 'contents' (a
    sequence of strings without line terminators) to it.",
"def _history_locked(self):
        """""" Returns whether history movement is locked.
        """"""
        return (self.history_lock and
                (self._get_edited_history(self._history_index) !=
                 self.input_buffer) and
                (self._get_prompt_cursor().blockNumber() !=
                 self._get_end_cursor().blockNumber()))",Returns whether history movement is locked.,
"def _get_edited_history(self, index):
        """""" Retrieves a history item, possibly with temporary edits.
        """"""
        if index in self._history_edits:
            return self._history_edits[index]
        elif index == len(self._history):
            return unicode()
        return self._history[index]","Retrieves a history item, possibly with temporary edits.",
"def _set_history(self, history):
        """""" Replace the current history with a sequence of history items.
        """"""
        self._history = list(history)
        self._history_edits = {}
        self._history_index = len(self._history)",Replace the current history with a sequence of history items.,
"def _store_edits(self):
        """""" If there are edits to the current input buffer, store them.
        """"""
        current = self.input_buffer
        if self._history_index == len(self._history) or \
                self._history[self._history_index] != current:
            self._history_edits[self._history_index] = current","If there are edits to the current input buffer, store them.",
"def t_NAME(t):
    r'[A-Za-z_][A-Za-z0-9_]*'
    # to simplify lexing, we match identifiers and keywords as a single thing
    # if it's a keyword, we change the type to the name of that keyword
    if t.value.upper() in reserved:
        t.type = t.value.upper()
        t.value = t.value.upper()
    return t",r'[A-Za-z_][A-Za-z0-9_]*,
"def t_STRING(t):
    r""'([^'\\]+|\\'|\\\\)*'""
    t.value = t.value.replace(r'\\', chr(92)).replace(r""\'"", r""'"")[1:-1]
    return t","r""'([^'\\]+|\\'|\\\\)*",
"def OnTimeToClose(self, evt):
        """"""Event handler for the button click.""""""
        print(""See ya later!"")
        sys.stdout.flush()
        self.cleanup_consoles(evt)
        self.Close()
        # Not sure why, but our IPython kernel seems to prevent normal WX
        # shutdown, so an explicit exit() call is needed.
        sys.exit()",Event handler for the button click.,
"def cleanup_files(self):
        """"""Clean up files, remove builds.""""""
        logger.debug('Cleaning up...')
        with indent_log():
            for req in self.reqs_to_cleanup:
                req.remove_temporary_source()

            if self._pip_has_created_build_dir():
                logger.debug('Removing temporary dir %s...', self.build_dir)
                rmtree(self.build_dir)","Clean up files, remove builds.",
"def StringIO(*args, **kw):
    """"""Thunk to load the real StringIO on demand""""""
    global StringIO
    try:
        from cStringIO import StringIO
    except ImportError:
        from StringIO import StringIO
    return StringIO(*args,**kw)",Thunk to load the real StringIO on demand,
"def add(self,dist):
        """"""Add `dist` if we ``can_add()`` it and it isn't already added""""""
        if self.can_add(dist) and dist.has_version():
            dists = self._distmap.setdefault(dist.key,[])
            if dist not in dists:
                dists.append(dist)
                if dist.key in self._cache:
                    _sort_dists(self._cache[dist.key])",Add `dist` if we ``can_add()`` it and it isn't already added,
"def activate(self,path=None):
        """"""Ensure distribution is importable on `path` (default=sys.path)""""""
        if path is None: path = sys.path
        self.insert_on(path)
        if path is sys.path:
            fixup_namespace_packages(self.location)
            map(declare_namespace, self._get_metadata('namespace_packages.txt'))",Ensure distribution is importable on `path` (default=sys.path),
"def _parsed_pkg_info(self):
        """"""Parse and cache metadata""""""
        try:
            return self._pkg_info
        except AttributeError:
            from email.parser import Parser
            self._pkg_info = Parser().parsestr(self.get_metadata(self.PKG_INFO))
            return self._pkg_info",Parse and cache metadata,
"def _collapse_leading_ws(header, txt):
    """"""
    ``Description`` header must preserve newlines; all others need not
    """"""
    if header.lower() == 'description':  # preserve newlines
        return '\n'.join([x[8:] if x.startswith(' ' * 8) else x
                          for x in txt.strip().splitlines()])
    else:
        return ' '.join([x.strip() for x in txt.splitlines()])",``Description`` header must preserve newlines; all others need not,
"def hideEvent(self, event):
        """""" Reimplemented to disconnect signal handlers and event filter.
        """"""
        super(CompletionWidget, self).hideEvent(event)
        self._text_edit.cursorPositionChanged.disconnect(self._update_current)
        self._text_edit.removeEventFilter(self)",Reimplemented to disconnect signal handlers and event filter.,
"def showEvent(self, event):
        """""" Reimplemented to connect signal handlers and event filter.
        """"""
        super(CompletionWidget, self).showEvent(event)
        self._text_edit.cursorPositionChanged.connect(self._update_current)
        self._text_edit.installEventFilter(self)",Reimplemented to connect signal handlers and event filter.,
"def _complete_current(self):
        """""" Perform the completion with the currently selected item.
        """"""
        self._current_text_cursor().insertText(self.currentItem().text())
        self.hide()",Perform the completion with the currently selected item.,
"def _current_text_cursor(self):
        """""" Returns a cursor with text between the start position and the
            current position selected.
        """"""
        cursor = self._text_edit.textCursor()
        if cursor.position() >= self._start_position:
            cursor.setPosition(self._start_position,
                               QtGui.QTextCursor.KeepAnchor)
        return cursor","Returns a cursor with text between the start position and the
            current position selected.",
"def registerAdminSite(appName, excludeModels=[]):
    """"""Registers the models of the app with the given ""appName"" for the admin site""""""
    for model in apps.get_app_config(appName).get_models():
        if model not in excludeModels:
            admin.site.register(model)","Registers the models of the app with the given ""appName"" for the admin site",
"def swap_memory():
    """"""Swap system memory as a (total, used, free, sin, sout) tuple.""""""
    mem = _psutil_mswindows.get_virtual_mem()
    total = mem[2]
    free = mem[3]
    used = total - free
    percent = usage_percent(used, total, _round=1)
    return nt_swapmeminfo(total, used, free, percent, 0, 0)","Swap system memory as a (total, used, free, sin, sout) tuple.",
"def disk_partitions(all):
    """"""Return disk partitions.""""""
    rawlist = _psutil_mswindows.get_disk_partitions(all)
    return [nt_partition(*x) for x in rawlist]",Return disk partitions.,
"def get_system_cpu_times():
    """"""Return system CPU times as a named tuple.""""""
    user, system, idle = 0, 0, 0
    # computes system global times summing each processor value
    for cpu_time in _psutil_mswindows.get_system_cpu_times():
        user += cpu_time[0]
        system += cpu_time[1]
        idle += cpu_time[2]
    return _cputimes_ntuple(user, system, idle)",Return system CPU times as a named tuple.,
"def get_system_per_cpu_times():
    """"""Return system per-CPU times as a list of named tuples.""""""
    ret = []
    for cpu_t in _psutil_mswindows.get_system_cpu_times():
        user, system, idle = cpu_t
        item = _cputimes_ntuple(user, system, idle)
        ret.append(item)
    return ret",Return system per-CPU times as a list of named tuples.,
"def get_system_users():
    """"""Return currently connected users as a list of namedtuples.""""""
    retlist = []
    rawlist = _psutil_mswindows.get_system_users()
    for item in rawlist:
        user, hostname, tstamp = item
        nt = nt_user(user, None, hostname, tstamp)
        retlist.append(nt)
    return retlist",Return currently connected users as a list of namedtuples.,
"def _stdout_raw(self, s):
        """"""Writes the string to stdout""""""
        print(s, end='', file=sys.stdout)
        sys.stdout.flush()",Writes the string to stdout,
"def _stderr_raw(self, s):
        """"""Writes the string to stdout""""""
        print(s, end='', file=sys.stderr)
        sys.stderr.flush()",Writes the string to stdout,
"def add_children(G, parent, level, n=2):
    """"""Add children recursively to a binary tree.""""""
    if level == 0:
        return
    for i in range(n):
        child = parent+str(i)
        G.add_node(child)
        G.add_edge(parent,child)
        add_children(G, child, level-1, n)",Add children recursively to a binary tree.,
"def make_bintree(levels):
    """"""Make a symmetrical binary tree with @levels""""""
    G = nx.DiGraph()
    root = '0'
    G.add_node(root)
    add_children(G, root, levels, 2)
    return G",Make a symmetrical binary tree with @levels,
"def submit_jobs(view, G, jobs):
    """"""Submit jobs via client where G describes the time dependencies.""""""
    results = {}
    for node in nx.topological_sort(G):
        with view.temp_flags(after=[ results[n] for n in G.predecessors(node) ]):
            results[node] = view.apply(jobs[node])
    return results",Submit jobs via client where G describes the time dependencies.,
"def validate_tree(G, results):
    """"""Validate that jobs executed after their dependencies.""""""
    for node in G:
        started = results[node].metadata.started
        for parent in G.predecessors(node):
            finished = results[parent].metadata.completed
            assert started > finished, ""%s should have happened after %s""%(node, parent)",Validate that jobs executed after their dependencies.,
"def make_color_table(in_class):
    """"""Build a set of color attributes in a class.

    Helper function for building the *TermColors classes.""""""

    for name,value in color_templates:
        setattr(in_class,name,in_class._base % value)","Build a set of color attributes in a class.

    Helper function for building the *TermColors classes.",
"def copy(self,name=None):
        """"""Return a full copy of the object, optionally renaming it.""""""
        if name is None:
            name = self.name
        return ColorScheme(name, self.colors.dict())","Return a full copy of the object, optionally renaming it.",
"def add_scheme(self,new_scheme):
        """"""Add a new color scheme to the table.""""""
        if not isinstance(new_scheme,ColorScheme):
            raise ValueError,'ColorSchemeTable only accepts ColorScheme instances'
        self[new_scheme.name] = new_scheme",Add a new color scheme to the table.,
"def home_lib(home):
    """"""Return the lib dir under the 'home' installation scheme""""""
    if hasattr(sys, 'pypy_version_info'):
        lib = 'site-packages'
    else:
        lib = os.path.join('lib', 'python')
    return os.path.join(home, lib)",Return the lib dir under the 'home' installation scheme,
"def set_style(self, style):
        """""" Sets the style to the specified Pygments style.
        """"""
        if isinstance(style, basestring):
            style = get_style_by_name(style)
        self._style = style
        self._clear_caches()",Sets the style to the specified Pygments style.,
"def _get_format_from_document(self, token, document):
        """""" Returns a QTextCharFormat for token by
        """"""
        code, html = self._formatter._format_lines([(token, u'dummy')]).next()
        self._document.setHtml(html)
        return QtGui.QTextCursor(self._document).charFormat()",Returns a QTextCharFormat for token by,
"def normalize_path(path):
    """"""
    Convert a path to its canonical, case-normalized, absolute version.

    """"""
    return os.path.normcase(os.path.realpath(os.path.expanduser(path)))","Convert a path to its canonical, case-normalized, absolute version.",
"def check_entry_points(dist, attr, value):
    """"""Verify that entry_points map is parseable""""""
    try:
        pkg_resources.EntryPoint.parse_map(value)
    except ValueError, e:
        raise DistutilsSetupError(e)",Verify that entry_points map is parseable,
"def last_blank(src):
    """"""Determine if the input source ends in a blank.

    A blank is either a newline or a line consisting of whitespace.

    Parameters
    ----------
    src : string
      A single or multiline string.
    """"""
    if not src: return False
    ll  = src.splitlines()[-1]
    return (ll == '') or ll.isspace()","Determine if the input source ends in a blank.

    A blank is either a newline or a line consisting of whitespace.

    Parameters
    ----------
    src : string
      A single or multiline string.",
"def transform_assign_system(line):
    """"""Handle the `files = !ls` syntax.""""""
    m = _assign_system_re.match(line)
    if m is not None:
        cmd = m.group('cmd')
        lhs = m.group('lhs')
        new_line = '%s = get_ipython().getoutput(%r)' % (lhs, cmd)
        return new_line
    return line",Handle the `files = !ls` syntax.,
"def transform_assign_magic(line):
    """"""Handle the `a = %who` syntax.""""""
    m = _assign_magic_re.match(line)
    if m is not None:
        cmd = m.group('cmd')
        lhs = m.group('lhs')
        new_line = '%s = get_ipython().magic(%r)' % (lhs, cmd)
        return new_line
    return line",Handle the `a = %who` syntax.,
"def transform_classic_prompt(line):
    """"""Handle inputs that start with '>>> ' syntax.""""""

    if not line or line.isspace():
        return line
    m = _classic_prompt_re.match(line)
    if m:
        return line[len(m.group(0)):]
    else:
        return line",Handle inputs that start with '>>> ' syntax.,
"def transform_ipy_prompt(line):
    """"""Handle inputs that start classic IPython prompt syntax.""""""

    if not line or line.isspace():
        return line
    #print 'LINE:  %r' % line # dbg
    m = _ipy_prompt_re.match(line)
    if m:
        #print 'MATCH! %r -> %r' % (line, line[len(m.group(0)):]) # dbg
        return line[len(m.group(0)):]
    else:
        return line",Handle inputs that start classic IPython prompt syntax.,
"def reset(self):
        """"""Reset the input buffer and associated state.""""""
        self.indent_spaces = 0
        self._buffer[:] = []
        self.source = ''
        self.code = None
        self._is_complete = False
        self._full_dedent = False",Reset the input buffer and associated state.,
"def _tr_system(line_info):
        ""Translate lines escaped with: !""
        cmd = line_info.line.lstrip().lstrip(ESC_SHELL)
        return '%sget_ipython().system(%r)' % (line_info.pre, cmd)",Translate lines escaped with: !,
"def _tr_help(line_info):
        ""Translate lines escaped with: ?/??""
        # A naked help line should just fire the intro help screen
        if not line_info.line[1:]:
            return 'get_ipython().show_usage()'
        
        return _make_help_call(line_info.ifun, line_info.esc, line_info.pre)",Translate lines escaped with: ?/??,
"def _tr_magic(line_info):
        ""Translate lines escaped with: %""
        tpl = '%sget_ipython().magic(%r)'
        cmd = ' '.join([line_info.ifun, line_info.the_rest]).strip()
        return tpl % (line_info.pre, cmd)",Translate lines escaped with: %,
"def _tr_quote(line_info):
        ""Translate lines escaped with: ,""
        return '%s%s(""%s"")' % (line_info.pre, line_info.ifun,
                             '"", ""'.join(line_info.the_rest.split()) )","Translate lines escaped with: ,",
"def _tr_paren(line_info):
        ""Translate lines escaped with: /""
        return '%s%s(%s)' % (line_info.pre, line_info.ifun,
                             "", "".join(line_info.the_rest.split()))",Translate lines escaped with: /,
"def reset(self):
        """"""Reset the input buffer and associated state.""""""
        super(IPythonInputSplitter, self).reset()
        self._buffer_raw[:] = []
        self.source_raw = ''
        self.cell_magic_parts = []
        self.processing_cell_magic = False",Reset the input buffer and associated state.,
"def source_raw_reset(self):
        """"""Return input and raw source and perform a full reset.
        """"""
        out = self.source
        out_r = self.source_raw
        self.reset()
        return out, out_r",Return input and raw source and perform a full reset.,
"def transform_cell(self, cell):
        """"""Process and translate a cell of input.
        """"""
        self.reset()
        self.push(cell)
        return self.source_reset()",Process and translate a cell of input.,
"def _init_observers(self):
        """"""Initialize observer storage""""""

        self.registered_types = set() #set of types that are observed
        self.registered_senders = set() #set of senders that are observed
        self.observers = {}",Initialize observer storage,
"def _group_report(self,group,name):
        """"""Report summary for a given job group.

        Return True if the group had any elements.""""""

        if group:
            print '%s jobs:' % name
            for job in group:
                print '%s : %s' % (job.num,job)
            print
            return True","Report summary for a given job group.

        Return True if the group had any elements.",
"def _group_flush(self,group,name):
        """"""Flush a given job group

        Return True if the group had any elements.""""""

        njobs = len(group)
        if njobs:
            plural = {1:''}.setdefault(njobs,'s')
            print 'Flushing %s %s job%s.' % (njobs,name,plural)
            group[:] = []
            return True","Flush a given job group

        Return True if the group had any elements.",
"def status(self,verbose=0):
        """"""Print a status of all jobs currently being managed.""""""

        self._update_status()
        self._group_report(self.running,'Running')
        self._group_report(self.completed,'Completed')
        self._group_report(self.dead,'Dead')
        # Also flush the report queues
        self._comp_report[:] = []
        self._dead_report[:] = []",Print a status of all jobs currently being managed.,
"def result(self,num):
        """"""result(N) -> return the result of job N.""""""
        try:
            return self.all[num].result
        except KeyError:
            error('Job #%s not found' % num)",result(N) -> return the result of job N.,
"def insert(self, idx, value):
        """"""
        Inserts a value in the ``ListVariable`` at an appropriate index.

        :param idx: The index before which to insert the new value.
        :param value: The value to insert.
        """"""

        self._value.insert(idx, value)
        self._rebuild()","Inserts a value in the ``ListVariable`` at an appropriate index.

        :param idx: The index before which to insert the new value.
        :param value: The value to insert.",
"def copy(self):
        """"""
        Retrieve a copy of the Environment.  Note that this is a shallow
        copy.
        """"""

        return self.__class__(self._data.copy(), self._sensitive.copy(),
                              self._cwd)","Retrieve a copy of the Environment.  Note that this is a shallow
        copy.",
"def cwd(self, value):
        """"""
        Change the working directory that processes should be executed in.

        :param value: The new path to change to.  If relative, will be
                      interpreted relative to the current working
                      directory.
        """"""

        self._cwd = utils.canonicalize_path(self._cwd, value)","Change the working directory that processes should be executed in.

        :param value: The new path to change to.  If relative, will be
                      interpreted relative to the current working
                      directory.",
"def move(self, state=None):
        """"""Swaps two cities in the route.

        :type state: TSPState
        """"""
        state = self.state if state is None else state
        route = state
        a = random.randint(self.locked_range, len(route) - 1)
        b = random.randint(self.locked_range, len(route) - 1)
        route[a], route[b] = route[b], route[a]","Swaps two cities in the route.

        :type state: TSPState",
"def _defaults(self, keys=None):
        """"""create an empty record""""""
        d = {}
        keys = self._keys if keys is None else keys
        for key in keys:
            d[key] = None
        return d",create an empty record,
"def _list_to_dict(self, line, keys=None):
        """"""Inverse of dict_to_list""""""
        keys = self._keys if keys is None else keys
        d = self._defaults(keys)
        for key,value in zip(keys, line):
            d[key] = value

        return d",Inverse of dict_to_list,
"def add_record(self, msg_id, rec):
        """"""Add a new Task Record, by msg_id.""""""
        d = self._defaults()
        d.update(rec)
        d['msg_id'] = msg_id
        line = self._dict_to_list(d)
        tups = '(%s)'%(','.join(['?']*len(line)))
        self._db.execute(""INSERT INTO %s VALUES %s""%(self.table, tups), line)","Add a new Task Record, by msg_id.",
"def get_record(self, msg_id):
        """"""Get a specific Task Record, by msg_id.""""""
        cursor = self._db.execute(""""""SELECT * FROM %s WHERE msg_id==?""""""%self.table, (msg_id,))
        line = cursor.fetchone()
        if line is None:
            raise KeyError(""No such msg: %r""%msg_id)
        return self._list_to_dict(line)","Get a specific Task Record, by msg_id.",
"def drop_matching_records(self, check):
        """"""Remove a record from the DB.""""""
        expr,args = self._render_expression(check)
        query = ""DELETE FROM %s WHERE %s""%(self.table, expr)
        self._db.execute(query,args)",Remove a record from the DB.,
"def get_history(self):
        """"""get all msg_ids, ordered by time submitted.""""""
        query = """"""SELECT msg_id FROM %s ORDER by submitted ASC""""""%self.table
        cursor = self._db.execute(query)
        # will be a list of length 1 tuples
        return [ tup[0] for tup in cursor.fetchall()]","get all msg_ids, ordered by time submitted.",
"def table(rows):
    '''
    Output a simple table with several columns.
    '''

    output = '<table>'

    for row in rows:
        output += '<tr>'
        for column in row:
            output += '<td>{s}</td>'.format(s=column)
        output += '</tr>'

    output += '</table>'

    return output",Output a simple table with several columns.,
"def jsfile(url):
    '''
    Output a script tag to a js file.
    '''

    if not url.startswith('http://') and not url[:1] == '/':
        #add media_url for relative paths
        url = settings.STATIC_URL + url

    return '<script type=""text/javascript"" src=""{src}""></script>'.format(
        src=url)",Output a script tag to a js file.,
"def cssfile(url):
    '''
    Output a link tag to a css stylesheet.
    '''

    if not url.startswith('http://') and not url[:1] == '/':
        #add media_url for relative paths
        url = settings.STATIC_URL + url

    return '<link href=""{src}"" rel=""stylesheet"">'.format(src=url)",Output a link tag to a css stylesheet.,
"def img(url, alt='', classes='', style=''):
    '''
    Image tag helper.
    '''

    if not url.startswith('http://') and not url[:1] == '/':
        #add media_url for relative paths
        url = settings.STATIC_URL + url

    attr = {
        'class': classes,
        'alt': alt,
        'style': style,
        'src': url
    }

    return html.tag('img', '', attr)",Image tag helper.,
"def sub(value, arg):
    """"""Subtract the arg from the value.""""""
    try:
        return valid_numeric(value) - valid_numeric(arg)
    except (ValueError, TypeError):
        try:
            return value - arg
        except Exception:
            return ''",Subtract the arg from the value.,
"def mul(value, arg):
    """"""Multiply the arg with the value.""""""
    try:
        return valid_numeric(value) * valid_numeric(arg)
    except (ValueError, TypeError):
        try:
            return value * arg
        except Exception:
            return ''",Multiply the arg with the value.,
"def div(value, arg):
    """"""Divide the arg by the value.""""""
    try:
        return valid_numeric(value) / valid_numeric(arg)
    except (ValueError, TypeError):
        try:
            return value / arg
        except Exception:
            return ''",Divide the arg by the value.,
"def mod(value, arg):
    """"""Return the modulo value.""""""
    try:
        return valid_numeric(value) % valid_numeric(arg)
    except (ValueError, TypeError):
        try:
            return value % arg
        except Exception:
            return ''",Return the modulo value.,
"def remove_builtin(self, key, orig):
        """"""Remove an added builtin and re-set the original.""""""
        if orig is BuiltinUndefined:
            del __builtin__.__dict__[key]
        else:
            __builtin__.__dict__[key] = orig",Remove an added builtin and re-set the original.,
"def activate(self):
        """"""Store ipython references in the __builtin__ namespace.""""""

        add_builtin = self.add_builtin
        for name, func in self.auto_builtins.iteritems():
            add_builtin(name, func)",Store ipython references in the __builtin__ namespace.,
"def deactivate(self):
        """"""Remove any builtins which might have been added by add_builtins, or
        restore overwritten ones to their previous values.""""""
        remove_builtin = self.remove_builtin
        for key, val in self._orig_builtins.iteritems():
            remove_builtin(key, val)
        self._orig_builtins.clear()
        self._builtins_added = False","Remove any builtins which might have been added by add_builtins, or
        restore overwritten ones to their previous values.",
"def parse_args(self, args=None, options=None):
        """"""Call optparse.parse_args, but return a triple:

        (ok, options, args)

        """"""
        try:
            options, args = \
                super(CoverageOptionParser, self).parse_args(args, options)
        except self.OptionParserError:
            return False, None, None
        return True, options, args","Call optparse.parse_args, but return a triple:

        (ok, options, args)",
"def add_action(self, dash, dashdash, action_code):
        """"""Add a specialized option that is the action to execute.""""""
        option = self.add_option(dash, dashdash, action='callback',
            callback=self._append_action
            )
        option.action_code = action_code",Add a specialized option that is the action to execute.,
"def _append_action(self, option, opt_unused, value_unused, parser):
        """"""Callback for an option that adds to the `actions` list.""""""
        parser.values.actions.append(option.action_code)",Callback for an option that adds to the `actions` list.,
"def set(self):
        """"""Set the hook.""""""
        if sys.displayhook is not self.hook:
            self.old_hook = sys.displayhook
            sys.displayhook = self.hook",Set the hook.,
"def log_errors(f, self, *args, **kwargs):
    """"""decorator to log unhandled exceptions raised in a method.
    
    For use wrapping on_recv callbacks, so that exceptions
    do not cause the stream to be closed.
    """"""
    try:
        return f(self, *args, **kwargs)
    except Exception:
        self.log.error(""Uncaught exception in %r"" % f, exc_info=True)","decorator to log unhandled exceptions raised in a method.
    
    For use wrapping on_recv callbacks, so that exceptions
    do not cause the stream to be closed.",
"def is_url(url):
    """"""boolean check for whether a string is a zmq url""""""
    if '://' not in url:
        return False
    proto, addr = url.split('://', 1)
    if proto.lower() not in ['tcp','pgm','epgm','ipc','inproc']:
        return False
    return True",boolean check for whether a string is a zmq url,
"def validate_url_container(container):
    """"""validate a potentially nested collection of urls.""""""
    if isinstance(container, basestring):
        url = container
        return validate_url(url)
    elif isinstance(container, dict):
        container = container.itervalues()
    
    for element in container:
        validate_url_container(element)",validate a potentially nested collection of urls.,
"def split_url(url):
    """"""split a zmq url (tcp://ip:port) into ('tcp','ip','port').""""""
    proto_addr = url.split('://')
    assert len(proto_addr) == 2, 'Invalid url: %r'%url
    proto, addr = proto_addr
    lis = addr.split(':')
    assert len(lis) == 2, 'Invalid url: %r'%url
    addr,s_port = lis
    return proto,addr,s_port","split a zmq url (tcp://ip:port) into ('tcp','ip','port').",
"def remote(view, block=None, **flags):
    """"""Turn a function into a remote function.

    This method can be used for map:

    In [1]: @remote(view,block=True)
       ...: def func(a):
       ...:    pass
    """"""

    def remote_function(f):
        return RemoteFunction(view, f, block=block, **flags)
    return remote_function","Turn a function into a remote function.

    This method can be used for map:

    In [1]: @remote(view,block=True)
       ...: def func(a):
       ...:    pass",
"def get_readline_tail(self, n=10):
        """"""Get the last n items in readline history.""""""
        end = self.shell.readline.get_current_history_length() + 1
        start = max(end-n, 1)
        ghi = self.shell.readline.get_history_item
        return [ghi(x) for x in range(start, end)]",Get the last n items in readline history.,
"def init_logstart(self):
        """"""Initialize logging in case it was requested at the command line.
        """"""
        if self.logappend:
            self.magic('logstart %s append' % self.logappend)
        elif self.logfile:
            self.magic('logstart %s' % self.logfile)
        elif self.logstart:
            self.magic('logstart')",Initialize logging in case it was requested at the command line.,
"def register_post_execute(self, func):
        """"""Register a function for calling after code execution.
        """"""
        if not callable(func):
            raise ValueError('argument %s must be callable' % func)
        self._post_execute[func] = True",Register a function for calling after code execution.,
"def new_main_mod(self,ns=None):
        """"""Return a new 'main' module object for user code execution.
        """"""
        main_mod = self._user_main_module
        init_fakemod_dict(main_mod,ns)
        return main_mod",Return a new 'main' module object for user code execution.,
"def _object_find(self, oname, namespaces=None):
        """"""Find an object and return a struct with info about it.""""""
        inf = Struct(self._ofind(oname, namespaces))
        return Struct(self._ofind_property(oname, inf))",Find an object and return a struct with info about it.,
"def init_history(self):
        """"""Sets up the command history, and starts regular autosaves.""""""
        self.history_manager = HistoryManager(shell=self, config=self.config)
        self.configurables.append(self.history_manager)","Sets up the command history, and starts regular autosaves.",
"def _showtraceback(self, etype, evalue, stb):
        """"""Actually show a traceback.

        Subclasses may override this method to put the traceback on a different
        place, like a side channel.
        """"""
        print >> io.stdout, self.InteractiveTB.stb2text(stb)","Actually show a traceback.

        Subclasses may override this method to put the traceback on a different
        place, like a side channel.",
"def pre_readline(self):
        """"""readline hook to be used at the start of each line.

        Currently it handles auto-indent only.""""""

        if self.rl_do_indent:
            self.readline.insert_text(self._indent_current_str())
        if self.rl_next_input is not None:
            self.readline.insert_text(self.rl_next_input)
            self.rl_next_input = None","readline hook to be used at the start of each line.

        Currently it handles auto-indent only.",
